fips,cohort_year,sex,race,age_group,off_type,repeat_contact,fe_rate,N_fe_rate,mi_rate,N_mi_rate,inc_rate,N_inc_rate,par_rate,N_par_rate,pro_rate,N_pro_rate,avg_coal_prod,med_coal_prod,tot_coal_prod,first_year,last_year,coal_prod_max,county_pop,peak_coal_prod_year,event_time,log_coal_prod,min_event_time,max_event_time
40105,2015,0,0,0,0,0,1327,10500,1602,10500,807,10500,23,10500,,,190909,190909,190909,2006,2017,254087,10500,2011,3,12.1595521537047,-6,5
40105,2015,0,0,0,1,0,205,10500,221,10500,,,,,,,190909,190909,190909,2006,2017,254087,10500,2011,3,12.1595521537047,-6,5
40105,2015,0,0,0,2,0,347,10500,282,10500,,,,,,,190909,190909,190909,2006,2017,254087,10500,2011,3,12.1595521537047,-6,5
40105,2015,0,0,0,3,0,418,10500,213,10500,,,,,,,190909,190909,190909,2006,2017,254087,10500,2011,3,12.1595521537047,-6,5
40111,2002,0,0,0,0,0,866,39500,1819,39500,618,39500,67,39500,,,2911,2911,2911,2000,2020,4960,39500,2004,-3,7.97625194374562,-5,15
40111,2002,0,0,0,1,0,157,39500,189,39500,,,,,,,2911,2911,2911,2000,2020,4960,39500,2004,-3,7.97625194374562,-5,15
40111,2002,0,0,0,2,0,268,39500,409,39500,,,,,,,2911,2911,2911,2000,2020,4960,39500,2004,-3,7.97625194374562,-5,15
40111,2002,0,0,0,3,0,181,39500,119,39500,,,,,,,2911,2911,2911,2000,2020,4960,39500,2004,-3,7.97625194374562,-5,15
40111,2003,0,0,0,0,0,794,39600,1877,39600,609,39600,61,39600,,,3229,3229,3229,2000,2020,4960,39600,2004,-2,8.07992777075828,-5,15
40111,2003,0,0,0,1,0,140,39600,194,39600,,,,,,,3229,3229,3229,2000,2020,4960,39600,2004,-2,8.07992777075828,-5,15
40111,2003,0,0,0,2,0,236,39600,505,39600,,,,,,,3229,3229,3229,2000,2020,4960,39600,2004,-2,8.07992777075828,-5,15
40111,2003,0,0,0,3,0,192,39600,146,39600,,,,,,,3229,3229,3229,2000,2020,4960,39600,2004,-2,8.07992777075828,-5,15
40111,2004,0,0,0,0,0,810,39600,1843,39600,620,39600,52,39600,,,4960,4960,4960,2000,2020,4960,39600,2004,-1,8.50916101971897,-5,15
40111,2004,0,0,0,1,0,132,39600,237,39600,,,,,,,4960,4960,4960,2000,2020,4960,39600,2004,-1,8.50916101971897,-5,15
40111,2004,0,0,0,2,0,247,39600,471,39600,,,,,,,4960,4960,4960,2000,2020,4960,39600,2004,-1,8.50916101971897,-5,15
